year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
2020,RADIN MAS,SMC,KUMAR APPAVOO,RP,5922,25.99
2020,RADIN MAS,SMC,MELVIN YONG YIK CHYE,PAP,16864,74.01
2020,SEMBAWANG,GRC,"LIM WEE KIAK, MARIAM JAAFAR, ONG YE KUNG, POH LI SAN, VIKRAM NAIR",PAP,94176,67.29
2020,SEMBAWANG,GRC,"NG CHUNG HON, SATHIN S/O RAVINDRAN, SEBASTIAN TEO, YADZETH BIN HAIRIS, YEO TIONG BOON",NSP,45778,32.71
2020,SENGKANG,GRC,"AMRIN AMIN, LAM PIN MIN, LYE HOONG YIP RAYMOND, NG CHEE MENG",PAP,55319,47.88
2020,SENGKANG,GRC,"CHUA KHENG WEE, HE TING RU, JAMUS JEROME LIM, RAEESAH BEGUM BINTE FARID KHAN",WP,60217,52.12
2020,TAMPINES,GRC,"BAEY YAM KENG, CHENG LI HUI, DESMOND CHOO PEY CHING, KOH POH KOON, MASAGOS ZULKIFLI",PAP,94668,66.41
2020,TAMPINES,GRC,"CHOONG HON HENG, FONG CHIN LEONG, MOHD RIDZWAN BIN MOHAMMAD, VINCENT NG KIAN GUAN, YEO REN-YUAN",NSP,47875,33.59
2020,TANJONG PAGAR,GRC,"A'BAS BIN KASMANI, CHUA TECK LEONG, MICHAEL, HARISH PILLAY, LOW WEI LING, SOON JUN WEI, TERENCE",PSP,45807,36.9
2020,TANJONG PAGAR,GRC,"CHAN CHUN SING, ERIC CHUA SWEE LEONG, INDRANEE THURAI RAJAH, JOAN PEREIRA, ALVIN TAN SHENG HUI",PAP,78330,63.1
2020,WEST COAST,GRC,"ANG WEI NENG, FOO MEE HAR, DESMOND LEE TI-SENG, RACHEL ONG SIN YEN, S ISWARAN",PAP,71658,51.68
2020,WEST COAST,GRC,"KHOO POH TIONG JEFFREY, LEONG MUN WAI, N. LOGANATHAN, HAZEL POA, TAN CHENG BOCK",PSP,66996,48.32
2020,YIO CHU KANG,SMC,KAYLA LOW,PSP,9519,39.18
2020,YIO CHU KANG,SMC,YIP HON WENG,PAP,14775,60.82
2020,YUHUA,SMC,GRACE FU HAI YIEN,PAP,14131,70.54
2020,YUHUA,SMC,ROBIN LOW,SDP,5901,29.46
